symbol,index,interval,open,high,low,close,adjusted_close,volume,date
A,130,d,39.29,39.44,39.16,39.4,36.2369,2107100,2025-10-14
AA,513,d,8.676,8.7228,8.4795,8.6105,19.5269,7508840,2025-10-14
AACB,705,d,10.13,10.146,10.13,10.146,10.146,1100,2025-10-14
AACG,765,d,4.25,4.39,4.23,4.23,3.7864,2600,2025-10-14
AACI,1088,d,10.26,10.31,10.26,10.26,10.26,19100,2025-10-14
AAL,1280,d,41.28,41.58,40.69,40.8,38.9064,10814800,2025-10-14
AAM,1664,d,10.51,10.519,10.51,10.519,10.519,400,2025-10-14
AAME,1951,d,4.481,4.486,4.006,4.3,4.012,10715,2025-10-14
AAMI,2047,d,18.7,19.35,18.67,18.91,16.0798,282800,2025-10-14
AAOI,2299,d,8.97,8.97,8.63,8.71,8.71,132924,2025-10-14
AAON,2814,d,23.86,24.58,23.62,24.34,15.2615,411856,2025-10-14
AAP,3006,d,164.74,165.2,161.68,163.53,143.9498,1345100,2025-10-14
AAPG,3198,d,20.8,21.4,20.49,21.17,21.17,167400,2025-10-14
AAPL,3581,d,114.92,115.05,113.32,113.69,25.6584,110467600,2025-10-14
AARD,3773,d,13.62,13.62,12.895,12.98,12.98,28100,2025-10-14
AAT,3827,d,40.12,40.46,39.95,40.37,27.0426,107500,2025-10-14
AAUC,4348,d,13.84,14.05,13.48,14.05,14.05,35000,2025-10-14
AB,4707,d,19.4,19.65,19.27,19.52,8.5879,192600,2025-10-14
ABAT,5009,d,0.186,0.191,0.18,0.191,2.865,1920,2025-10-14
ABBV,5114,d,65.45,65.805,64.87,65.65,42.907,10553420,2025-10-14
ABCB,5366,d,26.6,26.6,25.77,26.4,23.1308,61800,2025-10-14
ABCL,5881,d,13.64,13.95,13.3,13.67,13.67,2014500,2025-10-14
ABEO,6169,d,3.41,3.54,3.35,3.36,84.0,5750,2025-10-14
ABEV,6517,d,5.11,5.14,4.96,4.99,3.4393,27487700,2025-10-14
ABG,6648,d,90.96,91.6099,90.66,90.98,90.98,173150,2025-10-14
ABL,6900,d,10.2,10.2,10.1,10.15,10.15,90458,2025-10-14
ABLV,7415,d,1.51,1.5995,1.45,1.58,1.58,2660,2025-10-14
ABM,7703,d,32.02,32.21,31.69,31.79,26.271,323600,2025-10-14
ABNB,7799,d,179.62,182.46,177.25,179.5,179.5,2910200,2025-10-14
ABOS,8182,d,5.55,5.59,5.16,5.38,5.38,126400,2025-10-14
ABP,8434,d,10.0,10.0,10.0,10.0,10.0,832,2025-10-14
ABR,8916,d,6.67,6.67,6.52,6.54,2.5321,56900,2025-10-14
ABSI,8949,d,19.32,20.44,19.01,20.08,20.08,114400,2025-10-14
ABT,9333,d,48.69,50.16,48.65,49.94,41.1113,7971800,2025-10-14
ABTC,9716,d,10.0,10.08,9.415,10.04,20080.0,2,2025-10-14
ABTS,9968,d,6.0,6.0,6.0,6.0,60.0,0,2025-10-14
ABUS,10387,d,3.46,3.46,3.192,3.25,3.25,407470,2025-10-14
ABVC,10483,d,360.0,360.0,360.0,360.0,360.0,1,2025-10-14
ABVE,10867,d,9.72,9.75,9.72,9.745,9.745,8251,2025-10-14
ABVX,11250,d,11.39,11.4,10.85,10.86,10.86,165878,2025-10-14
ACA,11502,d,36.39,36.82,36.17,36.45,35.7068,350043,2025-10-14
ACAD,11912,d,21.53,22.09,20.56,21.2,21.2,2232291,2025-10-14
ACB,12017,d,0.3096,0.3096,0.3096,0.3096,37.1456,0,2025-10-14
ACCO,12218,d,9.07,9.2,8.71,8.79,6.2752,785400,2025-10-14
ACCS,12784,d,5.1,5.1,5.1,5.1,4.877,100,2025-10-14
ACDC,12832,d,18.71,19.66,18.68,19.6,19.6,431100,2025-10-14
ACEL,13168,d,9.76,9.76,9.76,9.76,9.76,140,2025-10-14
ACET,13551,d,11.83,12.25,11.33,11.77,82.3822,16543,2025-10-14
ACFN,13935,d,0.203,0.203,0.203,0.203,3.1001,20,2025-10-14
ACGL,14309,d,68.2899,68.8701,67.9701,68.6799,21.7692,1018800,2025-10-14
ACHC,14318,d,61.75,62.2,58.73,59.98,59.98,486164,2025-10-14
ACHR,14702,d,9.87,10.01,9.86,9.92,9.92,1166900,2025-10-14
ACHV,15085,d,2.85,3.06,2.69,2.92,6424.0,348,2025-10-14
ACI,15277,d,13.48,13.81,13.26,13.66,9.1596,8965900,2025-10-14
