Symbol,Company Name,Industry,Market Cap
A,"Agilent Technologies, Inc.",Diagnostics & Research,38735077297
AA,Alcoa Corporation,Aluminum,9067193599
AACB,Artius II Acquisition Inc.,Shell Companies,280901240
AACG,ATA Creativity Global,Education & Training Services,18501942
AACI,Armada Acquisition Corp. II,Shell Companies,323004800
AAL,American Airlines Group Inc.,Airlines,7601228018
AAM,AA Mission Acquisition Corp.,Shell Companies,463046199
AAME,Atlantic American Corporation,Insurance - Life,58744017
AAMI,Acadian Asset Management Inc.,Asset Management,1583602793
AAOI,"Applied Optoelectronics, Inc.",Communication Equipment,1692906919
AAON,"AAON, Inc.",Building Products & Equipment,8112302262
AAP,"Advance Auto Parts, Inc.",Auto Parts,2968011734
AAPG,Ascentage Pharma Group International,Biotechnology,3248140113
AAPL,Apple Inc.,Consumer Electronics,3639902455300
AARD,"Aardvark Therapeutics, Inc.",Biotechnology,352814130
AAT,"American Assets Trust, Inc.",REIT - Diversified,1165567451
AAUC,Allied Gold Corporation,Gold,2047443810
AB,AllianceBernstein Holding L.P.,Asset Management,4220313923
ABAT,American Battery Technology Company,Waste Management,546396449
ABBV,AbbVie Inc.,Drug Manufacturers - General,407191677317
ABCB,Ameris Bancorp,Banks - Regional,4880640104
ABCL,AbCellera Biologics Inc.,Biotechnology,1652546009
ABEO,Abeona Therapeutics Inc.,Biotechnology,274846853
ABEV,Ambev S.A.,Beverages - Brewers,33093130729
ABG,"Asbury Automotive Group, Inc.",Auto & Truck Dealerships,4621429568
ABL,"Abacus Global Management, Inc.",Insurance - Life,555709760
ABLV,Able View Global Inc.,Advertising Agencies,45566656
ABM,ABM Industries Incorporated,Specialty Business Services,2785902817
ABNB,"Airbnb, Inc.",Travel Services,73634272859
ABOS,"Acumen Pharmaceuticals, Inc.",Biotechnology,129627130
ABP,"Abpro Holdings, Inc.",Biotechnology,11184863
ABR,"Arbor Realty Trust, Inc.",REIT - Mortgage,2190313105
ABSI,Absci Corporation,Biotechnology,550243341
ABT,Abbott Laboratories,Medical Devices,230732651486
ABTC,American Bitcoin Corp.,Financial - Capital Markets,1049361260
ABTS,Abits Group Inc.,Capital Markets,19791254
ABUS,Arbutus Biopharma Corporation,Biotechnology,787881636
ABVC,"ABVC BioPharma, Inc.",Biotechnology,44050950
ABVE,Above Food Ingredients Inc.,Packaged Foods,192993267
ABVX,ABIVAX Société Anonyme,Biotechnology,7083929666
ACA,"Arcosa, Inc.",Engineering & Construction,4372353370
ACAD,ACADIA Pharmaceuticals Inc.,Biotechnology,3384367133
ACB,Aurora Cannabis Inc.,Drug Manufacturers - Specialty & Generic,298139098
ACCO,ACCO Brands Corporation,Business Equipment & Supplies,336194341
ACCS,ACCESS Newswire Inc.,Advertising Agencies,39075143
ACDC,ProFrac Holding Corp.,Oil & Gas Equipment & Services,586138781
ACEL,"Accel Entertainment, Inc.",Gambling,858110904
ACET,"Adicet Bio, Inc.",Biotechnology,88675138
ACFN,"Acorn Energy, Inc.",Scientific & Technical Instruments,63549083
ACGL,Arch Capital Group Ltd.,Insurance - Diversified,34511680679
ACHC,"Acadia Healthcare Company, Inc.",Medical Care Facilities,2240328322
ACHR,Archer Aviation Inc.,Aerospace & Defense,7720964703
ACHV,"Achieve Life Sciences, Inc.",Biotechnology,157403301
ACI,"Albertsons Companies, Inc.",Grocery Stores,9584571104
ACIC,American Coastal Insurance Corporation,Insurance - Property & Casualty,576405870
ACIU,AC Immune SA,Biotechnology,355221105
ACIW,"ACI Worldwide, Inc.",Software - Infrastructure,5263827542
ACLS,"Axcelis Technologies, Inc.",Semiconductor Equipment & Materials,2488059523
ACLX,"Arcellx, Inc.",Biotechnology,4813833388
ACM,AECOM,Engineering & Construction,17059057809
ACMR,"ACM Research, Inc.",Semiconductor Equipment & Materials,2348517331
ACN,Accenture plc,Information Technology Services,150070201820
ACNB,ACNB Corporation,Banks - Regional,445083117
ACNT,Ascent Industries Co.,Steel,111947624
ACOG,Alpha Cognition Inc.,Biotechnology,113463719
ACON,"Aclarion, Inc.",Health Information Services,5006760
ACR,ACRES Commercial Realty Corp.,REIT - Mortgage,150382859
ACRE,Ares Commercial Real Estate Corporation,REIT - Mortgage,242573607
ACRS,"Aclaris Therapeutics, Inc.",Biotechnology,202581248
ACRV,"Acrivon Therapeutics, Inc.",Biotechnology,57561021
ACT,"Enact Holdings, Inc.",Insurance - Specialty,5220223538
ACTG,Acacia Research Corporation,Business Equipment & Supplies,324055176
ACTU,"Actuate Therapeutics, Inc.",Biotechnology,161590377
ACU,Acme United Corporation,Household & Personal Products,145511352
ACVA,ACV Auctions Inc.,Auto & Truck Dealerships,1537058176
ACXP,"Acurx Pharmaceuticals, Inc.",Biotechnology,11854117
AD,"Array Digital Infrastructure, Inc.",Telecom Services,4233270939
ADAG,Adagene Inc.,Biotechnology,73524779
ADAM,"Adamas Trust, Inc.",REIT - Mortgage,614132337
ADAP,Adaptimmune Therapeutics plc,Biotechnology,47754827
ADBE,Adobe Inc.,Software - Application,141282701568
ADC,Agree Realty Corporation,REIT - Retail,7979023863
ADCT,ADC Therapeutics SA,Biotechnology,497247326
ADEA,Adeia Inc.,Software - Application,1718180675
ADGM,"Adagio Medical Holdings, Inc.",Medical Devices,31070761
ADI,"Analog Devices, Inc.",Semiconductors,111711338133
ADIL,"Adial Pharmaceuticals, Inc.",Biotechnology,8324625
ADM,Archer-Daniels-Midland Company,Farm Products,29231459146
ADMA,"ADMA Biologics, Inc.",Biotechnology,3469690654
ADN,"Advent Technologies Holdings, Inc.",Electrical Equipment & Parts,7663732
ADNT,Adient plc,Auto Parts,1822346165
ADP,"Automatic Data Processing, Inc.",Software - Application,115516968961
ADPT,Adaptive Biotechnologies Corporation,Biotechnology,2309995291
ADSE,ADS-TEC Energy PLC,Electrical Equipment & Parts,594468852
ADSK,"Autodesk, Inc.",Software - Application,65099780925
ADT,ADT Inc.,Security & Protection Services,6405863199
ADTN,"ADTRAN Holdings, Inc.",Communication Equipment,689249158
ADTX,"Aditxt, Inc.",Biotechnology,1461607
ADUR,Aduro Clean Technologies Inc.,Pollution & Treatment Controls,471383465
ADUS,Addus HomeCare Corporation,Medical Care Facilities,2078361355
ADV,Advantage Solutions Inc.,Advertising Agencies,482401369
ADVB,Advanced Biomed Inc.,Diagnostics & Research,10605764
ADVM,"Adverum Biotechnologies, Inc.",Biotechnology,100933814
ADXN,Addex Therapeutics Ltd,Biotechnology,7240461
AEBI,Aebi Schmidt Holding AG,Farm & Heavy Construction Machinery,860868938
AEC,Anfield Energy Inc.,Other,161002814
AEE,Ameren Corporation,Utilities - Regulated Electric,28033396199
AEG,Aegon Ltd.,Insurance - Diversified,12312697848
AEHL,Antelope Enterprise Holdings Limited,Building Products & Equipment,13504213
AEHR,"Aehr Test Systems, Inc.",Semiconductor Equipment & Materials,704637916
AEI,Alset Inc.,Real Estate - Development,105506373
AEIS,"Advanced Energy Industries, Inc.",Electrical Equipment & Parts,6398064873
AEM,Agnico Eagle Mines Limited,Gold,82574973029
AEMD,"Aethlon Medical, Inc.",Medical Devices,76293272
