symbol,date,predicted_return_30d,breakout_probability
ABTC,2025-12-02,6.327989822170654,0.3078010678291321
AKTX,2025-12-02,6.316921815814097,0.020039919763803482
AEMD,2025-12-02,3.1863716118208,0.07514794915914536
ACON,2025-12-02,3.184992241131408,0.01916337013244629
AIFU,2025-12-02,-0.04414548661583576,7.998328896974272e-07
AIV,2025-12-02,-0.24890436430513238,1.496967598768606e-07
ADM,2025-12-02,-0.2577957473901878,2.7980343020317378e-06
AGNCM,2025-12-02,-0.2649404369501243,2.213160041719675e-05
ACEL,2025-12-02,-0.26939814912358623,0.004764961078763008
AAT,2025-12-02,-0.26939814912358623,5.920003900428128e-07
