symbol,date,predicted_return_30d,breakout_probability,Industry,Market Cap,volume,volatility_20d,rsi_14
BRN,2025-12-02,6.543627914059275,7.624957652296871e-05,Oil & Gas Exploration & Production,13397800.0,248633,0.7593284682811638,42.857142857142854
ABTC,2025-12-02,6.327989822170654,0.3078010678291321,Financial - Capital Markets,1049361260.0,87476300,1.5172304859728805,11.142857142857125
BGLC,2025-12-02,6.317041581413665,0.061958543956279755,Specialty Chemicals,9324338.0,2936390,0.5705358594115563,30.295566502463046
CCRD,2025-10-30,6.317041581413665,0.009618337266147137,Software - Application,198861589.0,676443,0.3980540830062817,38.14814814814817
AKTX,2025-12-02,6.316921815814097,0.020039919763803482,Biotechnology,15166.0,16388471,1.362124116537738,23.57479639948565
BQ,2025-12-02,3.268824346132222,0.0030340654775500298,Specialty Retail,4611436.0,31902969,2.1762950517251953,52.877697841726615
AEMD,2025-12-02,3.1863716118208,0.07514794915914536,Medical Devices,76293272.0,3461653,1.2926825508538362,55.64250130797752
ACON,2025-12-02,3.184992241131408,0.01916337013244629,Health Information Services,5006760.0,177215,0.6584249849582438,50.514721021206505
AIFU,2025-12-02,-0.04414548661583576,7.998328896974272e-07,Insurance Brokers,13380000.0,0,0.9849949818884904,20.25862068965516
ASPC,2025-12-02,-0.11658909108513509,2.925694957411906e-07,Shell Companies,83150886.0,0,0.33997882915210315,41.47727272727272
BOWN,2025-12-02,-0.1829532144146918,2.3539558924312587e-07,Shell Companies,27518260.0,0,0.0,100.0
ALCY,2025-12-02,-0.2162943452064138,3.965166683883581e-08,Shell Companies,53068194.0,0,0.32506652276288894,0.0
AMT,2025-12-02,-0.22264393865803256,1.350925487031418e-07,REIT - Specialty,87413138683.0,2467200,0.2017449824952108,27.946954813359596
AMH,2025-12-02,-0.2249984015995202,8.198622367672215e-07,REIT - Residential,12048757872.0,1888700,0.17467621675496875,46.10778443113769
ALRM,2025-12-02,-0.23312645852306857,2.426359287710511e-06,Software - Application,2489262996.0,359768,0.39586764455356716,54.13793103448273
BHR,2025-12-02,-0.23353282312293225,1.0249589621480482e-07,REIT - Hotel & Motel,169184112.0,206800,0.41094556464401255,33.783783783783775
AIV,2025-12-02,-0.24890436430513238,1.496967598768606e-07,REIT - Residential,1097373760.0,1394568,0.2511952937178335,37.77777777777774
ASR,2025-12-02,-0.250958031684952,1.3442875967939472e-07,Airports & Air Services,9374393750.0,37800,0.19192836315676332,44.42586399108136
BRBR,2025-12-02,-0.25248390065709453,1.351371679447766e-06,Packaged Foods,4299668901.0,3526216,0.5352847252736788,69.17475728155338
BAC,2025-12-02,-0.2540558936901858,0.008389012888073921,Banks - Diversified,360347986729.0,46073513,0.19398338770416818,47.17223650385601
BNT,2025-12-02,-0.2569893164145917,1.324785216638702e-06,Insurance - Diversified,10456104637.0,14378,0.34649614902812426,50.18148820326678
ADM,2025-12-02,-0.2577957473901878,2.7980343020317378e-06,Farm Products,29231459146.0,1800900,0.3649868121117028,63.009708737864074
ATLC,2025-12-02,-0.2577957473901878,8.313216312672012e-06,Credit Services,828269587.0,49882,0.48751078257522856,64.34833430742259
AOS,2025-12-02,-0.2577957473901878,1.2543126786113135e-06,Specialty Industrial Machinery,9493779452.0,1164000,0.20642462070582152,50.86469989827054
AGNCM,2025-12-02,-0.2649404369501243,2.213160041719675e-05,REIT - Mortgage,8762951676.0,21694,0.036373793455614124,42.32914923291487
